fid,InputID,TargetID,Distance
"436","99164","75152",2355718.31597856
"437","99164","75153",2401458.97872273
"438","99164","75154",2340466.86520644
"439","99164","75155",2386162.94566592
"440","99164","75156",2404557.91839744
"441","99164","75157",2368251.4014297
"442","99164","70464",2950468.56625375
"443","99164","75158",2371407.90074944
"444","99164","70465",2884770.50085183
"445","99164","80476",1207021.80488226
"446","99164","80477",1082803.3391708
"447","99164","80478",1178622.39015753
"448","99164","70466",2908396.04488143
"449","99164","80479",1117763.52703089
"450","99164","75159",2350372.17417773
"451","99164","70471",2950644.21501707
"452","99164","80480",1098727.61753003
"453","99164","80481",1192952.25656819
"454","99164","75160",2352971.09269567
"455","99164","80482",1192684.30554528
"456","99164","80483",1105752.64779134
"457","99164","70501",2836149.05571598
"458","99164","42044",2613747.15921341
"459","99164","48506",2658855.92615268
"460","99164","42045",2607443.05524428
"461","99164","42047",2583712.42205459
"462","99164","42048",2628321.33935118
"463","99164","42049",2636589.19977219
"464","99164","48507",2655697.06123725
"465","99164","42050",2568566.81879425
"466","99164","42051",2592054.7024379
"467","99164","48509",2661720.99130995
"468","99164","48519",2663115.37209224
"469","99164","48529",2659520.44152501
"470","99164","42053",2558619.14620631
"471","99164","42054",2616301.36400875
"472","99164","48532",2648102.23532502
"473","99164","48551",2654978.40573412
"474","99164","48553",2654595.08188347
"475","99164","48554",2649544.22329578
"476","99164","27201",3329175.69769711
"477","99164","27203",3324332.25279294
"478","99164","27205",3325308.53668615
"479","99164","27207",3362045.43577589
"480","99164","27208",3353296.90914579
"481","99164","27209",3351055.08662536
"482","99164","27212",3319343.31946026
"483","99164","27214",3303823.51860723
"484","99164","27215",3329013.07768782
"485","99164","27217",3327402.82954056
"486","99164","27229",3353258.64615974
"487","99164","27231",3342999.38545349
"488","99164","27233",3321751.90490136
"489","99164","27235",3285781.2742337
"490","99164","27239",3309208.44561484
"491","99164","27242",3360222.9753265
"492","99164","27243",3348543.53412708
"493","99164","27244",3318442.4105764
"494","99164","27248",3326988.71218173
"495","99164","27249",3314442.69815583
"496","99164","27252",3367861.57856188
"497","99164","27253",3344093.20328888
"498","99164","27258",3341089.85014802
"499","99164","27260",3295840.05676247
"500","99164","27262",3291545.70388615
"501","99164","27263",3302351.1320841
"502","99164","27265",3289293.38970905
"503","99164","27278",3356325.30488872
"504","99164","27281",3370144.48017293
"505","99164","27282",3297874.65470222
"506","99164","27283",3322564.34681886
"507","99164","27284",3279208.7856868
"508","99164","27288",3281684.81788447
"509","99164","27291",3331498.41644082
"510","99164","27292",3292419.9138147
"511","99164","27295",3276282.54216529
"512","99164","27298",3331857.8649857
"513","99164","27299",3277973.20808113
"514","99164","27301",3310603.95342956
"515","99164","27302",3339555.36424153
"516","99164","43529",2726357.80241431
"517","99164","43531",2651636.96220473
"518","99164","43532",2699499.16822447
"519","99164","43533",2680732.84344329
"520","99164","43534",2707366.95463051
"521","99164","43535",2702523.33813625
"522","99164","43536",2655723.70702977
"523","99164","43537",2716238.44709926
"524","99164","43540",2691338.09886731
"525","99164","43541",2717532.87113524
"526","99164","43542",2710515.28398281
"527","99164","43543",2642387.90910072
"528","99164","43545",2690665.10482296
"529","99164","43547",2705331.65993237
"530","99164","43548",2696386.38442347
"531","99164","43549",2661624.48297995
"532","99164","43551",2727336.46757999
"533","99164","43553",2676641.87322343
"534","99164","43554",2645750.47869965
"535","99164","43555",2679040.46699023
"536","99164","43556",2660706.9711539
"537","99164","43557",2665954.93148642
"538","99164","43558",2700691.04339736
"539","99164","43560",2706640.76709468
"540","99164","43565",2718980.76645906
"541","99164","43566",2714160.56567956
"542","99164","43567",2680377.48688803
"543","99164","84401",736877.489073597
"544","99164","73145",2072215.67358883
"545","99164","73149",2068194.76673627
"546","99164","71960",2390848.36697948
"547","99164","73150",2077652.16752086
"548","99164","73151",2059810.70900594
"549","99164","71961",2373063.19866083
"550","99164","84403",745236.19778473
"551","99164","71962",2450130.48485156
"552","99164","71964",2426975.58114976
"553","99164","73159",2062382.98810919
"554","99164","71965",2374815.3795813
"555","99164","71968",2415614.28568743
"556","99164","71969",2382373.30841507
"557","99164","71970",2392175.6893997
"558","99164","71971",2381460.51863714
"559","99164","71972",2359351.57243476
"560","99164","73160",2073493.48495839
"561","99164","71973",2362768.52619198
"562","99164","71998",2461944.91974743
"563","99164","71999",2461455.39358085
"564","99164","84404",728505.605137435
"565","99164","72001",2405680.31564166
"566","99164","73162",2043552.31073904
"567","99164","94508",1003779.84803799
"568","99164","94509",1042884.32305941
"569","99164","94510",1042730.92974588
"570","99164","94511",1034417.50750501
"571","99164","94512",1029491.87035516
"572","99164","94513",1046456.12291223
"573","99164","94514",1055259.934261
"574","99164","94515",1005150.12080826
"575","99164","94516",1070686.36700689
"576","99164","94517",1055974.94193191
"577","99164","94518",1054123.6150596
"578","99164","94519",1049889.05449069
"579","99164","94520",1050043.71438249
"580","99164","94521",1051497.94154037
"581","99164","94523",1055425.48900483
"582","99164","94525",1050191.85703668
"583","99164","94526",1067309.7317202
"584","99164","94528",1062814.44073977
"585","99164","94530",1065903.12221772
"586","99164","94531",1045015.18720728
"587","99164","94533",1019440.02179321
"588","99164","94534",1027413.00825444
"589","99164","94535",1016664.10904025
"590","99164","94536",1092463.42288959
"591","99164","94538",1098618.3621341
"592","99164","94539",1095962.48108231
"593","99164","94541",1084762.02763506
"594","99164","48819",2628954.09085257
"595","99164","39571",3002810.20040531
"596","99164","42461",2589975.53346801
"597","99164","39572",2994104.93356075
"598","99164","42462",2601291.90198728
"599","99164","42463",2611718.53792528
"600","99164","48820",2592748.40275058
"601","99164","42464",2666959.18803048
"602","99164","48821",2597549.54735562
"603","99164","48822",2581110.58353435
"604","99164","39573",2991432.26966362
"605","99164","42501",2892779.29616687
"606","99164","39574",3000883.82786142
"607","99164","48823",2607386.3439646
"608","99164","48825",2606717.75411846
"609","99164","39576",3005811.50417804
"610","99164","42503",2881539.75285603
"611","99164","42516",2858276.98818454
"612","99164","42518",2886534.5352302
"613","99164","48827",2601875.98617157
